Tabelle 2 aus DIN 1045-1000:  Zuordnung von Anwendungsfällen ;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;1;2;3;4;5;6;;;;
;"BBQ-Phase
(Bild 2)";Anwendung;PK;BK;AK;BBQ;;;;
;;Anforderungen an die Nutzung;;;;;;;;
0;0;"Betonbauwerke mit besonderen Anforderungen hinsichtlich 
Nachhaltigkeit (insbesondere Klimaschutz, Ressourceneffizienz)
und Bauen im Bestand, jeweils außerhalb der Regelungen der Normreihe DIN 1045 oder außerhalb von bauafusichtlichen Verwendbarkeitsnachweisena";S;S;S;S;;;;
1;0;"Betonbauteile mit geplanter Nutzungsdauer nach technischer 
Spezifikation (für gewöhnlich Tragwerke von 50 Jahren, 
siehe DIN EN 1990 [10])";N;N;N;N;;;;
2;0;"Betonbauteile mit geplanter Nutzungsdauer abweichend von der 
technischen Spezifikation";S;S;S;S;;;;
3;0;Anlagen zum Lagern, Abfüllen u. Umschlagen (LAU) oder Herstellen, Behandeln und Verwenden (HBV) von wassergefährdenden Stoffen (WHG-Anlagen nach dem Wasserhaushaltsgesetz) nach DAfStb-Richtlinien Betonbau beim Umgang mit wassergefährdenden Stoffen (BUmwS);E;E;E;E;;;;
4;0;Anlagen zum Lagern oder Abfüllen von Jauche, Gülle und Silagesickersaft (JGS-Anlagen) bzw. Behälter u. Silos nach DIN 11622 (alle Teile);E;N;E;E;;;;
5;0;Behälter außerhalb der Landwirtschaft (z.B. Trinkwasser- oder Abwasserbehälter);E;N;E;E;;;;
6;0;Ingenieurbauwerke nach Regeln der öffentlichen Verkehrsträger (siehe Literaturhinweise);S;S;S;S;;;;
7;0;Windenergieanlagen;E;N;N;E;;;;
8;0;Maschinenfundamente, Kranbahnen;E;N;N;E;;;;
9;0;Sichtbetonklasse SB 1 nach DBV/VDZ-Merkblatt Sichtbeton;N;N;N;N;;;;
10;0;Sichtbetonklassen SB 2, SB 3 und SB 4 nach DBV/VDZ-Merkblatt Sichtbeton;E;S;S;S;;;;
11;0;Sichtbeton außerhalb DBV/VDZ-Merkblatt Sichtbetonb;S;S;S;S;;;;
;;Expositionsklassen und Feuchtigkeitsklassen;;;;;;;;
12;3;Bauteile in Expositionsklasse X0;N;N;N;N;;;;
13;3;Innenbauteile in Expositionsklasse XC1;N;N;N;N;;;;
